dateTime,Lon,Lat,Altitude,Speed,Vspeed,Course,监测站点,峰值时间,持续时间,Leq,SEL,Lmax,flight_number,Aircraft_model,SiteLon,SiteLat,SiteAltitude,AirTemperature,BarometricPressure,RelativeHumidity,WindSpeed,Distance,timestamp
2025-03-04 14:57:24,126.0176616,45.6142551,2250.6,432.791047,7.9,212.450845,松山小学,14:57:38,31,53.41,61.19,78.5,OZ340,A320NEO,126.275,45.685,0,-0.2,1003.1,38.0,2.2,21666.697322998243,1741100244
2025-03-04 15:05:02,125.839097,45.431075,3687.4,576.815176,6.4,112.19242,松山小学,15:06:10,70,72.14,88.86,75.1,CZ8635,A330,126.275,45.685,0,-0.2,1003.0,38.2,2.7,44379.25971080872,1741100702
2025-03-04 15:07:02,126.1989288,45.6249944,770.8,346.875734,4.6,214.928078,松山小学,15:07:15,31,60.92,60.92,74.9,CZ8635,A330,126.275,45.685,0,-0.2,1003.0,38.0,2.3,8957.631927626124,1741100822
2025-03-04 17:06:37,126.0860252,45.4752215,1123.5,305.89371,5.8,33.476904,苇塘沟屯,17:06:54,38,69.54,81.84,75.4,HU7210,B789,126.279,45.661,0,-1.9,1002.6,50.8,1.7,25586.091738828916,1741107997
2025-03-04 17:40:40,126.272702,45.642929,403.0,313.56777,10.5,36.83732,八里堡,17:40:57,40,70.21,82.26,76.7,HU7326,A333,126.289,45.651,0,-2.3,1002.7,51.4,2.5,1606.6828045803732,1741110040
2025-03-04 18:42:42,126.1716436,45.5389686,561.8,294.518858,5.0,96.683839,苇塘沟屯,18:42:53,31,68.27,80.31,73.8,G54282,CRJ9,126.279,45.661,0,-2.9,1002.9,57.0,1.4,15951.4398780274,1741113762
2025-03-04 20:04:26,126.0790982,45.6880946,2456.4,496.491088,9.4,208.003134,苇塘沟屯,20:04:39,26,68.43,78.84,75.0,CZ3914,B788,126.279,45.661,0,-3.5,1003.0,59.2,0.7,16056.091636098516,1741118666
2025-03-04 21:23:23,126.0890704,45.592619,2294.7,403.454373,7.3,278.774127,八里堡,21:23:37,27,64.47,70.49,74.7,CA1622,A332,126.289,45.651,0,-3.7,1002.8,59.0,0.4,17046.79571892059,1741123403
2025-03-05 13:11:28,125.7476031,45.653943,5092.5,605.528234,5.2,237.797096,立功村,13:11:46,37,67.16,79.47,74.1,HU7074,A332,126.274,45.63,0,3.0,1003.3,40.2,3.2,41455.04793012411,1741180288
2025-03-05 13:11:34,125.8075071,45.5865659,4740.4,563.728243,6.7,181.604068,半岛世家,13:11:54,41,69.59,76.58,79.5,HU7074,A332,126.279,45.631,0,3.0,1003.3,40.3,3.1,37425.10925896505,1741180294
